"번호","지역","상호","주소","기간","상표","셀프여부","고급휘발유","휘발유","경유","실내등유"
"A0031169","부산 강서구","공항대로주유소","부산 강서구 공항로 1217 (대저1동)","20220811","알뜰주유소","셀프","0","1745","1828","0"
"A0031169","부산 강서구","공항대로주유소","부산 강서구 공항로 1217 (대저1동)","20220812","알뜰주유소","셀프","0","1729","1828","0"
"A0031169","부산 강서구","공항대로주유소","부산 강서구 공항로 1217 (대저1동)","20220813","알뜰주유소","셀프","0","1729","1828","0"
"A0031169","부산 강서구","공항대로주유소","부산 강서구 공항로 1217 (대저1동)","20220814","알뜰주유소","셀프","0","1729","1828","0"
"A0031169","부산 강서구","공항대로주유소","부산 강서구 공항로 1217 (대저1동)","20220815","알뜰주유소","셀프","0","1698","1798","0"
"A0031169","부산 강서구","공항대로주유소","부산 강서구 공항로 1217 (대저1동)","20220816","알뜰주유소","셀프","0","1698","1798","0"
"A0031169","부산 강서구","공항대로주유소","부산 강서구 공항로 1217 (대저1동)","20220817","알뜰주유소","셀프","0","1698","1798","0"
"A0027673","부산 강서구","광신석유(주)직영 명지주유소","부산 강서구 르노삼성대로 372 (명지동)","20220810","SK에너지","셀프","2199","1999","2099","1799"
"A0027673","부산 강서구","광신석유(주)직영 명지주유소","부산 강서구 르노삼성대로 372 (명지동)","20220811","SK에너지","셀프","2199","1999","2099","1799"
"A0027673","부산 강서구","광신석유(주)직영 명지주유소","부산 강서구 르노삼성대로 372 (명지동)","20220812","SK에너지","셀프","2199","1999","2099","1799"
"A0027673","부산 강서구","광신석유(주)직영 명지주유소","부산 강서구 르노삼성대로 372 (명지동)","20220813","SK에너지","셀프","2199","1899","1999","1799"
"A0027673","부산 강서구","광신석유(주)직영 명지주유소","부산 강서구 르노삼성대로 372 (명지동)","20220814","SK에너지","셀프","2199","1899","1999","1799"
"A0027673","부산 강서구","광신석유(주)직영 명지주유소","부산 강서구 르노삼성대로 372 (명지동)","20220815","SK에너지","셀프","2199","1899","1999","1799"
"A0027673","부산 강서구","광신석유(주)직영 명지주유소","부산 강서구 르노삼성대로 372 (명지동)","20220816","SK에너지","셀프","2199","1899","1999","1799"
"A0027673","부산 강서구","광신석유(주)직영 명지주유소","부산 강서구 르노삼성대로 372 (명지동)","20220817","SK에너지","셀프","2199","1899","1999","1799"
"A0032931","부산 강서구","극동유화(주) 고려주유소","부산 강서구 르노삼성대로 586","20220810","S-OIL","셀프","2100","1789","1880","1500"
"A0032931","부산 강서구","극동유화(주) 고려주유소","부산 강서구 르노삼성대로 586","20220811","S-OIL","셀프","2100","1789","1880","1500"
"A0032931","부산 강서구","극동유화(주) 고려주유소","부산 강서구 르노삼성대로 586","20220812","S-OIL","셀프","2080","1769","1860","1500"
"A0032931","부산 강서구","극동유화(주) 고려주유소","부산 강서구 르노삼성대로 586","20220813","S-OIL","셀프","2080","1769","1860","1500"
"A0032931","부산 강서구","극동유화(주) 고려주유소","부산 강서구 르노삼성대로 586","20220814","S-OIL","셀프","2080","1759","1850","1500"
"A0032931","부산 강서구","극동유화(주) 고려주유소","부산 강서구 르노삼성대로 586","20220815","S-OIL","셀프","2080","1759","1850","1500"
"A0032931","부산 강서구","극동유화(주) 고려주유소","부산 강서구 르노삼성대로 586","20220816","S-OIL","셀프","2080","1749","1840","1500"
"A0032931","부산 강서구","극동유화(주) 고려주유소","부산 강서구 르노삼성대로 586","20220817","S-OIL","셀프","2080","1749","1840","1500"
"A0032126","부산 강서구","금룡주유소","부산 강서구 가락대로 1361 (봉림동)","20220810","S-OIL","일반","0","1828","1928","1650"
"A0032126","부산 강서구","금룡주유소","부산 강서구 가락대로 1361 (봉림동)","20220811","S-OIL","일반","0","1828","1928","1650"
"A0032126","부산 강서구","금룡주유소","부산 강서구 가락대로 1361 (봉림동)","20220812","S-OIL","일반","0","1788","1928","1650"
"A0032126","부산 강서구","금룡주유소","부산 강서구 가락대로 1361 (봉림동)","20220813","S-OIL","일반","0","1788","1928","1650"
"A0032126","부산 강서구","금룡주유소","부산 강서구 가락대로 1361 (봉림동)","20220814","S-OIL","일반","0","1788","1928","1650"
"A0032126","부산 강서구","금룡주유소","부산 강서구 가락대로 1361 (봉림동)","20220815","S-OIL","일반","0","1788","1928","1650"
"A0032126","부산 강서구","금룡주유소","부산 강서구 가락대로 1361 (봉림동)","20220816","S-OIL","일반","0","1788","1928","1650"
"A0032126","부산 강서구","금룡주유소","부산 강서구 가락대로 1361 (봉림동)","20220817","S-OIL","일반","0","1788","1878","1650"
"A0032122","부산 강서구","김해공항주유소","부산 강서구 공항진입로 25 (대저2동)","20220810","GS칼텍스","셀프","0","1799","1895","1580"
"A0032122","부산 강서구","김해공항주유소","부산 강서구 공항진입로 25 (대저2동)","20220811","GS칼텍스","셀프","0","1737","1849","1580"
"A0032122","부산 강서구","김해공항주유소","부산 강서구 공항진입로 25 (대저2동)","20220812","GS칼텍스","셀프","0","1737","1849","1580"
"A0032122","부산 강서구","김해공항주유소","부산 강서구 공항진입로 25 (대저2동)","20220813","GS칼텍스","셀프","0","1715","1817","1580"
"A0032122","부산 강서구","김해공항주유소","부산 강서구 공항진입로 25 (대저2동)","20220814","GS칼텍스","셀프","0","1715","1817","1580"
"A0032122","부산 강서구","김해공항주유소","부산 강서구 공항진입로 25 (대저2동)","20220815","GS칼텍스","셀프","0","1715","1817","1580"
