선암주유소,부산 기장군 장안읍 기장대로 1453,"X :129.241566, Y :35.3218006 "
성경주유소,부산 사상구 모덕로 69 (모라동),"X :128.983830, Y :35.1818204 "
성도주유소,부산 북구 낙동대로 1642,"X :128.993373, Y :35.2022733 "
성지셀프주유소,부산 남구 유엔로 42 (우암동),"X :129.081571, Y :35.1270305"
성학주유소,부산 연제구 월드컵대로 249 (거제동),"X :129.069909, Y :35.1901758"
세기상사(주) 공항주유소,부산 강서구 공항로 469 (대저2동),"X :128.952407, Y :35.1497713 "
세기상사㈜ 대성주유소,부산 영도구 해양로 128 (청학동),"X :129.067758, Y :35.0934644 "
세방주유소,부산 기장군 일광면 기장대로 1195,"X :129.237733, Y :35.2999658 "
세원주유소,부산 사상구 학감대로 178,"X :128.989072, Y :35.1469403 "
세일석유(주) 구도일주유소센텀시티,부산 해운대구 해운대로 285 (우동),"X :129.131519, Y :35.1752840"
세일석유㈜ 금곡주유소,부산 북구 금곡대로 604 (금곡동),"X :129.014579, Y :35.2615790"
센텀타이거주유소,부산 수영구 민락본동로 30,"X :129.128693, Y :35.1594736"
GS칼텍스 온천주유소,부산 기장군 장안읍 반룡로 16,"X :129.255443, Y :35.352502"
송림주유소,부산 사하구 장평로 177 (장림동),"X :128.972440, Y :35.0818766"
송정역주유소,부산 해운대구 해운대로 1217,"X :129.204855, Y :35.1935890 "
송정파크주유소,부산 해운대구 해운대로 1088 (송정동),"X :129.200461, Y :35.1824860 "
스마일주유소,부산 부산진구 동평로 49,"X :129.034827, Y :35.1651502 "
스마트주유소,부산 사상구 가야대로 377,"X :129.013985, Y :35.1517016"
스타2 주유소,부산 서구 원양로 260 (암남동),"X :129.006503, Y :35.0742978"
식물원주유소,부산 금정구 금샘로 21 (장전동),"X :129.077673, Y :35.2278010 "
신세계주유소,부산 동래구 충렬대로 500 (안락동),"X :129.112363, Y :35.1941830"
신아시아드주유소,부산광역시 기장군 일광면 기장대로 996,"X :129.233477, Y :35.2823017 "
신영주유소,부산 수영구 과정로 23 (망미동),"X :129.108053, Y :35.1735318 "
신촌셀프주유소,부산 해운대구 반여로 153 (반여동),"X :129.125456, Y :35.2050109 "
신평주유소,부산 사하구 하신중앙로 166 (신평동),"X :128.963154, Y :35.0937607 "
신한양주유소,부산 연제구 연안로 20 (연산동),"X :129.107459, Y :35.1896546 "
신항만에너지,부산 강서구 낙동남로 501 (녹산동),"X :128.874624, Y :35.1128607"
신항만주유소,부산 강서구 가락대로1243번길 68,"X :128.897355, Y :35.1765456"
신화주유소,부산 금정구 금강로 721,"X :129.088777, Y :35.2719730"
아산주유소,부산 사상구 새벽로 1 (학장동),"X :128.979354, Y :35.1415932"
아시아사상주유소,부산 사상구 새벽로 207 (괘법동),"X :128.983744, Y :35.1597521 "
아시아이엔에프㈜직영 아시아Self주유소,부산 사상구 백양대로 480 (주례동),"X :128.999507, Y :35.1532390 "
안락교차로주유소,부산 동래구 충렬대로 330 (안락동),"X :129.094791, Y :35.1986064 "
안평주유소,부산 기장군 철마면 반송로 1300,"X :129.187145, Y :35.2483109 "
양천석유(주)덕진셀프주유소반송점,부산 해운대구 반송로 782,"X :129.145978, Y :35.2234647 "
에너지드림셀프주유소,부산 연제구 반송로 68 (연산동),"X :129.087176, Y :35.1897534"
에스씨(주) 감천주유소,부산 사하구 감천로 79 (감천동),"X :129.001080, Y :35.0892568"
에스씨(주) 마리나타운주유소,부산 해운대구 해운대해변로 44 (우동),"X :129.138038, Y :35.1631028"
